role1,role2,role3,role4,role5,role6,role7,role8,role9,role10,role11,count(*)
0,1,0,0,1,1,0,1,1,0,0,7
1,1,0,0,1,1,0,0,1,0,0,5
1,0,0,0,1,1,0,0,1,0,1,3
1,2,0,0,1,1,0,0,0,0,0,3
0,1,0,0,1,1,1,0,1,0,0,2
0,1,0,0,1,1,1,1,0,0,0,2
0,1,0,0,1,2,0,1,0,0,0,2
0,1,1,0,1,1,1,0,0,0,0,2
1,0,0,0,1,1,1,0,1,0,0,2
0,0,0,0,1,1,0,1,2,0,0,1
0,0,0,0,1,1,1,1,1,0,0,1
0,0,0,0,1,2,1,0,1,0,0,1
0,0,1,0,1,1,1,0,1,0,0,1
0,1,0,0,1,1,0,1,0,0,1,1
0,1,0,0,1,1,2,0,0,0,0,1
0,1,0,0,1,2,1,0,0,0,0,1
0,1,1,0,1,1,0,1,0,0,0,1
1,0,1,0,1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,0,0,0,0,1
2,1,0,0,1,1,0,0,0,0,0,1
